TIME,GEO,UNIT,Value,Flag and Footnotes
2011,European Union - 27 countries (from 2020),Million euro,"11,323,915.68",
2011,Belgium,Million euro,"375,967.80",
2011,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Million euro,"71,211.62",
2011,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Million euro,"71,211.62",
2011,Vlaams Gewest,Million euro,"216,565.22",
2011,Prov. Antwerpen,Million euro,"70,963.63",
2011,Prov. Limburg (BE),Million euro,"23,653.28",
2011,Prov. Oost-Vlaanderen,Million euro,"44,795.55",
2011,Prov. Vlaams-Brabant,Million euro,"39,327.90",
2011,Prov. West-Vlaanderen,Million euro,"37,824.86",
2011,Région wallonne,Million euro,"87,937.49",
2011,Prov. Brabant wallon,Million euro,"13,791.38",
2011,Prov. Hainaut,Million euro,"29,362.42",
2011,Prov. Liège,Million euro,"27,199.42",
2011,Prov. Luxembourg (BE),Million euro,"6,119",
2011,Prov. Namur,Million euro,"11,465.28",
2011,Extra-Regio NUTS 1,Million euro,253.47,
2011,Extra-Regio NUTS 2,Million euro,253.47,
2011,Bulgaria,Million euro,"41,478.91",
2011,Severna i yugoiztochna Bulgaria,Million euro,"15,658.21",
2011,Severozapaden,Million euro,"3,006.43",
2011,Severen tsentralen,Million euro,"3,271.94",
2011,Severoiztochen,Million euro,"4,439.23",
2011,Yugoiztochen,Million euro,"4,940.61",
2011,Yugozapadna i yuzhna tsentralna Bulgaria,Million euro,"25,820.70",
2011,Yugozapaden,Million euro,"20,002.65",
2011,Yuzhen tsentralen,Million euro,"5,818.05",
2011,Czechia,Million euro,"165,202.24",
2011,Cesko,Million euro,"165,202.24",
2011,Praha,Million euro,"43,101.45",
2011,Strední Cechy,Million euro,"18,103.70",
2011,Jihozápad,Million euro,"16,374.32",
2011,Severozápad,Million euro,"13,227.24",
2011,Severovýchod,Million euro,"19,172.84",
2011,Jihovýchod,Million euro,"23,740.94",
2011,Strední Morava,Million euro,"15,280.01",
2011,Moravskoslezsko,Million euro,"16,201.73",
2011,Denmark,Million euro,"247,879.85",
2011,Danmark,Million euro,"238,938.09",
2011,Hovedstaden,Million euro,"93,288.52",
2011,Sjælland,Million euro,"24,744.87",
2011,Syddanmark,Million euro,"48,275.03",
2011,Midtjylland,Million euro,"51,001.37",
2011,Nordjylland,Million euro,"21,628.14",
2011,Extra-Regio NUTS 1,Million euro,"8,941.76",
2011,Extra-Regio NUTS 2,Million euro,"8,941.76",
2011,Germany (until 1990 former territory of the FRG),Million euro,"2,693,560",
2011,Baden-Württemberg,Million euro,"405,608.48",
2011,Stuttgart,Million euro,"170,365.17",
2011,Karlsruhe,Million euro,"101,910.76",
2011,Freiburg,Million euro,"69,679.68",
2011,Tübingen,Million euro,"63,652.87",
2011,Bayern,Million euro,"483,474.93",
2011,Oberbayern,Million euro,"209,775.43",
2011,Niederbayern,Million euro,"39,174.78",
2011,Oberpfalz,Million euro,"36,823.82",
2011,Oberfranken,Million euro,"32,509.90",
2011,Mittelfranken,Million euro,"61,933.78",
2011,Unterfranken,Million euro,"44,416.04",
2011,Schwaben,Million euro,"58,841.17",
2011,Berlin,Million euro,"108,111.27",
2011,Berlin,Million euro,"108,111.27",
2011,Brandenburg,Million euro,"57,467.92",
2011,Brandenburg,Million euro,"57,467.92",
2011,Bremen,Million euro,"27,245.11",
2011,Bremen,Million euro,"27,245.11",
2011,Hamburg,Million euro,"94,663.57",
2011,Hamburg,Million euro,"94,663.57",
2011,Hessen,Million euro,"236,927.16",
2011,Darmstadt,Million euro,"170,367.27",
2011,Gießen,Million euro,"29,723.63",
2011,Kassel,Million euro,"36,836.27",
2011,Mecklenburg-Vorpommern,Million euro,"36,159.90",
2011,Mecklenburg-Vorpommern,Million euro,"36,159.90",
2011,Niedersachsen,Million euro,"239,724.98",
2011,Braunschweig,Million euro,"60,910.94",
2011,Hannover,Million euro,"68,978.71",
2011,Lüneburg,Million euro,"38,097.95",
2011,Weser-Ems,Million euro,"71,737.37",
2011,Nordrhein-Westfalen,Million euro,"577,122.67",
2011,Düsseldorf,Million euro,"182,797",
2011,Köln,Million euro,"151,827.32",
2011,Münster,Million euro,"73,573.73",
2011,Detmold,Million euro,"63,450.54",
2011,Arnsberg,Million euro,"105,474.08",
2011,Rheinland-Pfalz,Million euro,"117,322.67",
2011,Koblenz,Million euro,"40,457.75",
2011,Trier,Million euro,"13,344.39",
2011,Rheinhessen-Pfalz,Million euro,"63,520.53",
2011,Saarland,Million euro,"31,789.90",
2011,Saarland,Million euro,"31,789.90",
2011,Sachsen,Million euro,"99,403.20",
2011,Dresden,Million euro,"39,168.53",
2011,Chemnitz,Million euro,"34,551.60",
2011,Leipzig,Million euro,"25,683.09",
2011,Sachsen-Anhalt,Million euro,"51,982.67",
2011,Sachsen-Anhalt,Million euro,"51,982.67",
2011,Schleswig-Holstein,Million euro,"75,930.13",
2011,Schleswig-Holstein,Million euro,"75,930.13",
2011,Thüringen,Million euro,"50,625.42",
2011,Thüringen,Million euro,"50,625.42",
2011,Estonia,Million euro,"16,677.26",
2011,Eesti,Million euro,"16,677.26",
2011,Eesti,Million euro,"16,677.26",
2011,Ireland,Million euro,"171,683.37",
2011,Éire/Ireland,Million euro,"171,683.37",
2011,Northern and Western,Million euro,"22,353.25",
2011,Southern,Million euro,"56,891.65",
2011,Eastern and Midland,Million euro,"92,438.52",
2011,Greece,Million euro,"203,308.22",
2011,Attiki,Million euro,"98,648.60",
2011,Attiki,Million euro,"98,648.60",
2011,"Nisia Aigaiou, Kriti",Million euro,"19,049.47",
2011,Voreio Aigaio,Million euro,"2,896.87",
2011,Notio Aigaio,Million euro,"6,564.38",
2011,Kriti,Million euro,"9,588.22",
2011,Voreia Ellada,Million euro,"45,074.87",
2011,"Anatoliki Makedonia, Thraki",Million euro,"8,011.30",
2011,Kentriki Makedonia,Million euro,"27,534.82",
2011,Dytiki Makedonia,Million euro,"4,980.50",
2011,Ipeiros,Million euro,"4,548.25",
2011,Kentriki Ellada,Million euro,"40,535.28",
2011,Thessalia,Million euro,"9,717.56",
2011,Ionia Nisia,Million euro,"3,421.85",
2011,Dytiki Ellada,Million euro,"9,367.10",
2011,Sterea Ellada,Million euro,"9,231.88",
2011,Peloponnisos,Million euro,"8,796.88",
2011,Spain,Million euro,"1,063,763",
2011,Noroeste (ES),Million euro,"90,766.78",
2011,Galicia,Million euro,"55,767.74",
2011,Principado de Asturias,Million euro,"22,375.90",
2011,Cantabria,Million euro,"12,623.14",
2011,Noreste (ES),Million euro,"123,347.97",
2011,País Vasco,Million euro,"64,130.35",
2011,Comunidad Foral de Navarra,Million euro,"17,941.74",
2011,La Rioja,Million euro,"7,907.91",
2011,Aragón,Million euro,"33,367.97",
2011,Comunidad de Madrid,Million euro,"198,464.97",
2011,Comunidad de Madrid,Million euro,"198,464.97",
2011,Centro (ES),Million euro,"110,571.82",
2011,Castilla y León,Million euro,"54,575.10",
2011,Castilla-la Mancha,Million euro,"38,259",
2011,Extremadura,Million euro,"17,737.72",
2011,Este (ES),Million euro,"325,010.40",
2011,Cataluña,Million euro,"198,905.57",
2011,Comunitat Valenciana,Million euro,"99,706.72",
2011,Illes Balears,Million euro,"26,398.11",
2011,Sur (ES),Million euro,"173,619.14",
2011,Andalucía,Million euro,"143,389.59",
2011,Región de Murcia,Million euro,"27,236.55",
2011,Ciudad de Ceuta,Million euro,"1,575.72",
2011,Ciudad de Melilla,Million euro,"1,417.28",
2011,Canarias,Million euro,"40,595.34",
2011,Canarias,Million euro,"40,595.34",
2011,Extra-Regio NUTS 1,Million euro,"1,386.90",
2011,Extra-Regio NUTS 2,Million euro,"1,386.90",
2011,France,Million euro,"2,058,369",
2011,Île de France,Million euro,"615,464.02",
2011,Île de France,Million euro,"615,464.02",
2011,Centre - Val de Loire,Million euro,"68,052.10",
2011,Centre - Val de Loire,Million euro,"68,052.10",
2011,Bourgogne - Franche-Comté,Million euro,"72,841.73",
2011,Bourgogne,Million euro,"43,493.40",
2011,Franche-Comté,Million euro,"29,348.32",
2011,Normandie,Million euro,"89,691.39",
2011,Basse-Normandie,Million euro,"37,959.73",
2011,Haute-Normandie,Million euro,"51,731.66",
2011,Hauts-de-France,Million euro,"150,395",
2011,Nord-Pas-de-Calais,Million euro,"103,970.35",
2011,Picardie,Million euro,"46,424.65",
2011,Grand Est,Million euro,"148,405.52",
2011,Alsace,Million euro,"54,615.63",
2011,Champagne-Ardenne,Million euro,"37,619.33",
2011,Lorraine,Million euro,"56,170.57",
2011,Pays-de-la-Loire,Million euro,"100,883.60",
2011,Pays-de-la-Loire,Million euro,"100,883.60",
2011,Bretagne,Million euro,"84,235.09",
2011,Bretagne,Million euro,"84,235.09",
2011,Nouvelle-Aquitaine,Million euro,"154,410.08",
2011,Aquitaine,Million euro,"92,070.05",
2011,Limousin,Million euro,"17,267.31",
2011,Poitou-Charentes,Million euro,"45,072.73",
2011,Occitanie,Million euro,"146,497.32",
2011,Languedoc-Roussillon,Million euro,"65,754.54",
2011,Midi-Pyrénées,Million euro,"80,742.78",
2011,Auvergne - Rhône-Alpes,Million euro,"234,591.78",
2011,Auvergne,Million euro,"33,703.03",
2011,Rhône-Alpes,Million euro,"200,888.75",
2011,Provence-Alpes-Côte d'Azur,Million euro,"145,939.50",
2011,Provence-Alpes-Côte d'Azur,Million euro,"145,939.50",
2011,Corse,Million euro,"7,984.37",
2011,Corse,Million euro,"7,984.37",
2011,RUP FR - Régions ultrapériphériques françaises,Million euro,"37,920",
2011,Guadeloupe,Million euro,"8,636",
2011,Martinique,Million euro,"8,143",
2011,Guyane,Million euro,"3,572",
